min,max
-9.11443954825142,318.367993247401
-92.2739156720331,215.344469806316
0.531924244891684,322.240674675842
-5.9944154444049795,376.44601618783093
-19.7570945136311,316.799958251106
-125.22496910692699,196.83335482899102
-2.80000597057366,322.85717596138903
-66.9691608811815,245.54291016072202
-24.1142149753398,324.28586748687
-75.65306399847991,229.14304325470798
-7.485806558378839,321.657139440148
4.63060129064307,422.576957665439
-15.028602799181499,324.91426574417403
9.45707583180774,433.028374566046
-26.0975521385038,389.77488109781405
-52.1732825113723,272.669947782204
-7.16887466474187,384.226413205344
-55.142809831882204,302.17081915486403
-27.090810540097298,337.71397285991003
-25.182630475729102,553.094108806118
-36.303442835530895,334.479233734132
-15.2836490421137,550.01209008636
-64.49882610469339,371.36137131136
-72.7827609099229,359.425418956165
-15.6923286845481,429.69970464628096
-76.3867167672238,342.99853938807
-65.4039561820984,367.945543480811
-62.493841946299604,547.3504509673841
-65.8170939762144,380.430507088153
-55.91483339120111,547.090949029664
