Start Training
next epoch
(' loss: ', 2.065300226211548)
(' loss: ', 2.064640760421753)
(' loss: ', 2.0688703060150146)
(' loss: ', 2.0621819496154785)
(' loss: ', 2.0667836666107178)
(' loss: ', 2.063234329223633)
(' loss: ', 2.0605483055114746)
(' loss: ', 2.0650839805603027)
(' loss: ', 2.0687012672424316)
(' loss: ', 2.0673370361328125)
(' loss: ', 2.065319776535034)
(' loss: ', 2.0685601234436035)
(' loss: ', 2.068993330001831)
(' loss: ', 2.061049699783325)
(' loss: ', 2.066767692565918)
(' loss: ', 2.0625157356262207)
(' loss: ', 2.0713343620300293)
(' loss: ', 2.071516513824463)
(' loss: ', 2.067267656326294)
(' loss: ', 2.0658743381500244)
(' loss: ', 2.0694310665130615)
(' loss: ', 2.0662035942077637)
(' loss: ', 2.0631942749023438)
(' loss: ', 2.067823648452759)
(' loss: ', 2.0678482055664062)
(' loss: ', 2.0645034313201904)
(' loss: ', 2.065981388092041)
(' loss: ', 2.063764810562134)
(' loss: ', 2.066840171813965)
(' loss: ', 2.06980037689209)
(' loss: ', 2.066934585571289)
(' loss: ', 2.068697214126587)
(' loss: ', 2.0715017318725586)
(' loss: ', 2.0686254501342773)
(' loss: ', 2.0643458366394043)
(' loss: ', 2.061134099960327)
(' loss: ', 2.067978858947754)
(' loss: ', 2.0636794567108154)
(' loss: ', 2.0704174041748047)
(' loss: ', 2.065669298171997)
(' loss: ', 2.069645643234253)
(' loss: ', 2.065183162689209)
(' loss: ', 2.0712156295776367)
(' loss: ', 2.065492630004883)
(' loss: ', 2.0645265579223633)
(' loss: ', 2.064589738845825)
(' loss: ', 2.0718066692352295)
(' loss: ', 2.069425582885742)
(' loss: ', 2.06786847114563)
(' loss: ', 2.066398859024048)
(' loss: ', 2.0676543712615967)
(' loss: ', 2.0689198970794678)
(' loss: ', 2.0657243728637695)
(' loss: ', 2.0635669231414795)
(' loss: ', 2.071000576019287)
(' loss: ', 2.0654070377349854)
(' loss: ', 2.0651004314422607)
(' loss: ', 2.063857078552246)
(' loss: ', 2.0663468837738037)
(' loss: ', 2.0683634281158447)
(' loss: ', 2.0674502849578857)
(' loss: ', 2.0639748573303223)
(' loss: ', 2.071326494216919)
(' loss: ', 2.069340467453003)
(' loss: ', 2.068265914916992)
(' loss: ', 2.0627148151397705)
(' loss: ', 2.064284324645996)
(' loss: ', 2.0713350772857666)
(' loss: ', 2.066189765930176)
(' loss: ', 2.064814805984497)
(' loss: ', 2.06564998626709)
(' loss: ', 2.0668647289276123)
(' loss: ', 2.0685038566589355)
(' loss: ', 2.067470073699951)
(' loss: ', 2.0682992935180664)
(' loss: ', 2.067007541656494)
(' loss: ', 2.0679290294647217)
(' loss: ', 2.0688936710357666)
(' loss: ', 2.0668513774871826)
(' loss: ', 2.0688884258270264)
(' loss: ', 2.066481113433838)
(' loss: ', 2.064927101135254)
(' loss: ', 2.0708794593811035)
(' loss: ', 2.0665442943573)
(' loss: ', 2.0643863677978516)
(' loss: ', 2.067330837249756)
(' loss: ', 2.0661816596984863)
(' loss: ', 2.068305492401123)
(' loss: ', 2.0718801021575928)
(' loss: ', 2.0679545402526855)
(' loss: ', 2.068218469619751)
(' loss: ', 2.072246789932251)
(' loss: ', 2.0662360191345215)
(' loss: ', 2.0645742416381836)
(' loss: ', 2.0641379356384277)
(' loss: ', 2.0716419219970703)
(' loss: ', 2.070143938064575)
(' loss: ', 2.0665040016174316)
(' loss: ', 2.0654561519622803)
(' loss: ', 2.0711939334869385)
(' loss: ', 2.0679214000701904)
(' loss: ', 2.0659079551696777)
(' loss: ', 2.063143730163574)
(' loss: ', 2.0678229331970215)
(' loss: ', 2.0701122283935547)
(' loss: ', 2.068880081176758)
(' loss: ', 2.0674221515655518)
(' loss: ', 2.0634818077087402)
(' loss: ', 2.0697152614593506)
(' loss: ', 2.0687973499298096)
(' loss: ', 2.0683298110961914)
(' loss: ', 2.0720720291137695)
(' loss: ', 2.062964916229248)
(' loss: ', 2.070570230484009)
(' loss: ', 2.063649892807007)
(' loss: ', 2.069634199142456)
(' loss: ', 2.0714261531829834)
(' loss: ', 2.0697717666625977)
(' loss: ', 2.0690274238586426)
(' loss: ', 2.069657802581787)
(' loss: ', 2.0668785572052)
(' loss: ', 2.06767201423645)
(' loss: ', 2.0720674991607666)
(' loss: ', 2.0668821334838867)
(' loss: ', 2.067887783050537)
(' loss: ', 2.064035415649414)
(' loss: ', 2.0703344345092773)
(' loss: ', 2.0694518089294434)
(' loss: ', 2.0632004737854004)
(' loss: ', 2.06440806388855)
(' loss: ', 2.0708868503570557)
(' loss: ', 2.06770396232605)
(' loss: ', 2.063939094543457)
(' loss: ', 2.0659658908843994)
(' loss: ', 2.0654983520507812)
(' loss: ', 2.0677852630615234)
(' loss: ', 2.0670485496520996)
(' loss: ', 2.0697731971740723)
(' loss: ', 2.0663199424743652)
(' loss: ', 2.0661568641662598)
(' loss: ', 2.0704729557037354)
(' loss: ', 2.0711541175842285)
(' loss: ', 2.0714285373687744)
(' loss: ', 2.066166400909424)
(' loss: ', 2.0696914196014404)
(' loss: ', 2.0649116039276123)
(' loss: ', 2.067070245742798)
(' loss: ', 2.0682082176208496)
(' loss: ', 2.06776762008667)
(' loss: ', 2.065246820449829)
(' loss: ', 2.065617322921753)
(' loss: ', 2.0631089210510254)
(' loss: ', 2.063650608062744)
(' loss: ', 2.064669609069824)
(' loss: ', 2.066159248352051)
(' loss: ', 2.0647940635681152)
(' loss: ', 2.0662708282470703)
(' loss: ', 2.065357208251953)
(' loss: ', 2.067314386367798)
(' loss: ', 2.065044641494751)
(' loss: ', 2.0709969997406006)
(' loss: ', 2.06158709526062)
(' loss: ', 2.0649373531341553)
(' loss: ', 2.0670175552368164)
(' loss: ', 2.066396713256836)
(' loss: ', 2.0669875144958496)
(' loss: ', 2.0665955543518066)
(' loss: ', 2.0693345069885254)
(' loss: ', 2.064423084259033)
(' loss: ', 2.0661752223968506)
(' loss: ', 2.068310499191284)
(' loss: ', 2.068880558013916)
(' loss: ', 2.0681371688842773)
(' loss: ', 2.0679569244384766)
(' loss: ', 2.066535711288452)
(' loss: ', 2.0672664642333984)
(' loss: ', 2.06745982170105)
(' loss: ', 2.0667197704315186)
(' loss: ', 2.0721914768218994)
(' loss: ', 2.0677733421325684)
(' loss: ', 2.06489634513855)
(' loss: ', 2.072288751602173)
(' loss: ', 2.0690784454345703)
(' loss: ', 2.0642354488372803)
(' loss: ', 2.0620665550231934)
