max,min
16.13825567,-80.05570763
10.41775002,-13.05803683
17.20816118,-33.60150854
1384.112836,-973.0874935
2991.247911,-2064.688391
2734.783396,-4672.79457
46.45057957,-59.31889643
43.63174412,-12.766797
45.98664982,-27.94539325
6029.286444,-1648.691398
5871.901126,-2071.295477
2219.729812,-1092.165614
19.08796099,-26.47279978
17.73459523,-15.57986448
12.31268057,-22.98369075
2521.043577,-1701.207161
1353.13861,-948.0062593
733.353379,-400.6924885
32.75444047,-15.41914764
15.08387521,-11.56005911
16.86027901,-12.16785274
777.7819425,-4185.209185
2164.677659,-1368.49374
736.3111193,-3227.265718
44.71483555,-110.2398501
33.75483273,-33.68528968
26.13797512,-33.4743637
5837.056683,-2087.8343
4701.368717,-1705.230894
1684.39785,-1418.616567
