max,min
392.8500061035156,-382.6199951171875
345.04998779296875,-377.87298583984375
311.2950134277344,-286.26300048828125
433.77099609375,-460.3299865722656
459.04400634765625,-451.7200012207031
460.80999755859375,-111.48200225830078
392.8500061035156,-382.6199951171875
345.04998779296875,-377.87298583984375
311.2950134277344,-286.26300048828125
540.8052978515625,-558.7000122070312
545.43798828125,-562.2000122070312
575.7999877929688,-137.31500244140625
395.80999755859375,-386.7748107910156
449.8399963378906,-412.61260986328125
373.369384765625,-387.6080017089844
312.7590026855469,-331.9100036621094
330.98199462890625,-325.70001220703125
332.260009765625,-78.37000274658203
533.969970703125,-404.0830078125
449.45001220703125,-506.989990234375
490.6300048828125,-490.2699890136719
622.75,-690.1300048828125
701.719970703125,-634.7999877929688
721.9000244140625,-437.3840026855469
560.0700073242188,-463.0199890136719
324.2200012207031,-315.6369934082031
379.4049987792969,-405.5036926269531
193.69000244140625,-200.58999633789062
203.64999389648438,-196.8459930419922
159.2969970703125,-203.74000549316406
474.1440124511719,-377.1499938964844
402.57000732421875,-372.614990234375
466.8630065917969,-337.33099365234375
828.4600219726562,-817.739990234375
908.8099975585938,-739.9099731445312
99.13999938964844,-1055.5264892578125
482.5299987792969,-310.2900085449219
381.3399963378906,-424.739990234375
368.7799987792969,-383.52899169921875
455.4800109863281,-433.5
478.6046142578125,-467.3940124511719
488.79998779296875,-199.89999389648438
420.0400085449219,-424.4599914550781
331.55999755859375,-347.0400085449219
406.6940002441406,-295.4100036621094
504.6000061035156,-541.8200073242188
567.219970703125,-487.29998779296875
269.4320068359375,-633.5130004882812
474.1440124511719,-377.1499938964844
402.57000732421875,-372.614990234375
466.8630065917969,-337.33099365234375
796.426025390625,-756.7999877929688
863.8599853515625,-619.97998046875
254.1999969482422,-1142.15234375
588.3800048828125,-521.9000244140625
453.9930114746094,-581.14501953125
684.77001953125,-550.18701171875
773.9000244140625,-899.469970703125
884.9439697265625,-812.9400024414062
932.5800170898438,-643.3590087890625
588.3800048828125,-521.9000244140625
453.9930114746094,-581.14501953125
684.77001953125,-550.18701171875
843.0999755859375,-984.2100219726562
935.6699829101562,-904.0900268554688
1016.989990234375,-700.9810180664062
392.0246887207031,-606.39501953125
437.9700012207031,-471.8919982910156
673.489990234375,-484.5628967285156
312.7590026855469,-331.9100036621094
330.98199462890625,-325.70001220703125
332.260009765625,-78.37000274658203
528.8300170898438,-406.6129150390625
476.2200012207031,-502.94000244140625
474.8800048828125,-481.80999755859375
624.22998046875,-628.22998046875
652.6065063476562,-627.1060180664062
726.7000122070312,-569.5869750976562
377.5679931640625,-490.2200012207031
357.5690002441406,-322.8800048828125
350.5010070800781,-319.3599853515625
198.86000061035156,-203.25
197.66000366210938,-203.7209930419922
114.93099975585938,-201.1020050048828
527.0800170898438,-420.15399169921875
412.2799987792969,-466.1300048828125
638.5029907226562,-450.6199951171875
659.8599853515625,-779.6900024414062
666.6599731445312,-776.4940185546875
300.4800109863281,-1051.955810546875
532.1099853515625,-314.04998779296875
426.0199890136719,-396.8800048828125
423.8399963378906,-450.0360107421875
458.17779541015625,-458.1400146484375
463.968994140625,-459.78900146484375
490.44000244140625,-254.7209930419922
423.0299987792969,-444.0799865722656
348.3800048828125,-353.5889892578125
396.1919860839844,-380.3299865722656
543.6939697265625,-516.2999877929688
525.2999877929688,-503.1520080566406
440.25,-621.010986328125
527.0800170898438,-420.15399169921875
412.2799987792969,-466.1300048828125
638.5029907226562,-450.6199951171875
785.9099731445312,-774.030029296875
667.1900024414062,-715.9229736328125
336.29998779296875,-1145.1534423828125
535.9400024414062,-417.2969970703125
480.4649963378906,-495.1000061035156
485.85198974609375,-491.2799987792969
775.1599731445312,-823.6400146484375
868.6300048828125,-771.5999755859375
951.4000244140625,-801.2962036132812
535.9400024414062,-417.2969970703125
480.4649963378906,-495.1000061035156
485.85198974609375,-491.2799987792969
848.6240234375,-917.3099975585938
948.3099975585938,-871.0
1043.9000244140625,-783.6619873046875
443.30499267578125,-351.12811279296875
301.3280029296875,-290.5580139160156
272.9840087890625,-269.3110046386719
138.75,-159.9403076171875
151.83999633789062,-153.48199462890625
111.3499984741211,-162.71800231933594
